Date,SPGCCLP Index,SPGCHUP Index,SPGCNGP Index,SPGCGOP Index,SPGCHOP Index,SPGCGCP Index,SPGCSIP Index,SPGCCNP Index,SPGCWHP Index,SPGCKCP Index,SPGCSBP Index,SPGCILP Index,SPGCIKP Index,SPGCIAP Index,SPGCICP Index,SPGCIZP Index
1994-09-12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.271227047239254e-17,0.0,-9.120850776034306e-18,0.0,0.0,0.0,-0.09208615214127877,1.1106296004398386e-17,0.4079138478587213
1994-09-13,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,-1.0055805743213603e-16,0.0,-3.0269569403079677e-17,0.0,0.0,0.0,-0.09253702671778788,3.02153592944554e-17,0.4074629732822121
1994-09-14,0.0,0.1821494667352469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9786689647860456e-18,0.0,0.0,0.0,-0.2551610829848722,-0.12463831959656389,0.4380511306833169
1994-09-15,0.0,0.16715983288645886,0.0,0.0,0.0,0.0,0.0,0.01587086677646836,0.0,-1.5720931501039814e-18,0.0,0.0,0.0,-0.24556956129475194,-0.14140640796229792,0.4299933310800229
1994-09-16,0.0,0.15017946645524002,0.0,0.0,0.0,0.0,0.0,0.034942126279066114,0.0,-9.486769009248164e-20,0.0,0.0,0.0,-0.24449238221650316,-0.14627648146322328,0.4241095435859674
1994-09-19,0.0,0.14816080826901443,0.0,0.0,0.0,0.0,0.0,0.03645013161143439,0.0,6.776263578034403e-20,0.0,0.0,0.0,-0.2520409982868287,-0.14129277225633743,0.4220552895763851
1994-09-20,0.0,0.15935118049765934,0.0,0.0,0.0,0.0,0.0,0.030192468994509357,0.0,-1.5178830414797062e-18,0.0,0.0,0.0,-0.23733922468567556,-0.14793303803975277,0.42518408778240296
1994-09-21,0.0,0.16388298144702595,0.0,0.0,0.0,0.0,0.0,0.029228676511156113,0.0,-7.995991022080595e-19,0.0,0.0,0.0,-0.23682683584600228,-0.14818352224638062,0.42187798395105663
1994-09-22,0.0,0.1660036252178476,0.0,0.0,0.0,0.0,0.0,0.030137120333743245,0.0,1.2332799712022613e-18,0.0,0.0,0.0,-0.24025818773859928,-0.14348782147457473,0.4201132452352353
1994-09-23,0.0,0.15301973283275316,0.0,0.0,0.0,0.0,0.0,0.03814470068772701,0.0,6.776263578034403e-20,0.0,0.0,0.0,-0.24312296186067486,-0.1456847707279955,0.42002783389084947
